features:abstractness
	fasttext	bert_context_last_layer	bert_standalone	bert_vulic	mbert_context_last_layer	mbert_standalone	mbert_vulic	xlmr_context_last_layer	xlmr_standalone	xlmr_vulic	clip_context_avg	clip_standalone	mclip_context_avg	mclip_standalone	openclip_context_avg	openclip_standalone
openclip_context_avg	0,09841997141957626	0,041519751722953746	0,2096617808076574	0,17399496674416748	0,17108125791959394	0,16763043842904568	0,19936220991026388	0,1425755591679203	0,13719524057992716	0,11637490905849557	0,0415938139589177	0,004264867515483606	0,04143814503066556	0,09528763659538486	-	0,17662843088131197
openclip_standalone	0,07962075945967584	0,035181548672270635	0,03869823996578836	0,059115939007988616	0,006789302198920932	0,017285477048163078	0,026482111505446992	0,17987001343569797	0,17959754319031074	0,1933009239278659	0,19680431629811168	0,20954171624958473	0,2158910876104121	0,2449049805744299	0,17662829604337638	-
features:basic+relations_wordnet_flag_synonyms
	fasttext	bert_context_last_layer	bert_standalone	bert_vulic	mbert_context_last_layer	mbert_standalone	mbert_vulic	xlmr_context_last_layer	xlmr_standalone	xlmr_vulic	clip_context_avg	clip_standalone	mclip_context_avg	mclip_standalone	openclip_context_avg	openclip_standalone
fasttext	-	0,06368348723966322	0,16260431723130908	0,20512661758936035	0,15026078428658374	0,04028947135625782	0,1980207364377612	0,030519678428217234	0,031128463824348862	0,04364695043695943	0,07402047184061156	0,09561818296029467	0,1097436000533214	0,16573653516351305	0,09810084895765958	0,07961482446584289
bert_context_last_layer	0,06368348018999703	-	0,13730325945514066	0,2176140984536814	0,11729598679817088	0,03767089741564733	0,13312264284032715	0,07919041683467443	0,07842362409156356	0,10831564391439219	0,08017084061209956	0,060612395555574516	0,09543031836504468	0,11809384765784237	0,07117266376002607	0,04239994743060105
bert_standalone	0,1626044588648532	0,1373030610574476	-	0,05739386053172124	0,02538874943124869	0,08304807318722829	0,00927762273683308	0,24083628948578095	0,24059922095071962	0,2565995303854822	0,24360597630415937	0,20373591240696487	0,2600726509480987	0,2631149931081336	0,20961430189923902	0,039408219739592854
bert_vulic	0,20512654291095445	0,2176137228745596	0,057393873926006145	-	0,0873324713174839	0,10562519209261723	0,06456056853950154	0,2016428891476475	0,20080905384861047	0,2404598416252831	0,20728090372722274	0,20249898099549568	0,2158659507785362	0,22516061302729629	0,19938201183150406	0,07892365490303255
mbert_context_last_layer	0,15026078091999684	0,11729591282045793	0,025388852002705242	0,08733246086953306	-	0,046237758081130065	0,02999401185936179	0,19116418544533298	0,18964007381804726	0,24740849728950332	0,1970606668217576	0,17277452102463187	0,21304793297240754	0,21621730590126587	0,18036003860954786	0,009917643671221277
mbert_standalone	0,040289425929143974	0,03767071476211781	0,08304804174264713	0,10562553178254441	0,04623778119635691	-	0,07157173803008554	0,2182037546060066	0,21827512634566237	0,17057916507296633	0,22879082718990296	0,17239187564220582	0,25808639796388166	0,2704145036458908	0,167532608796799	0,019214235716413786
mbert_vulic	0,19802072842549945	0,1331228533122446	0,009277645836038961	0,06456055829398621	0,02999435624251945	0,07157176536528698	-	0,22764568092422022	0,22550136083345385	0,30551514544775327	0,22753798281951232	0,21013206630630854	0,23939979131257927	0,24505609188440014	0,2048014093429147	0,028235641023838576
xlmr_context_last_layer	0,03051968941466976	0,07919054467958841	0,24083579322230597	0,20164278025976867	0,19116431214374985	0,218203446445142	0,22764525592337992	-	0,01054980477580203	0,06003704208752125	0,3641186556360414	0,19960390099591085	0,4580752217148526	0,3390133697380512	0,14486554966676257	0,18346118784174892
xlmr_standalone	0,031128454653703064	0,07842367716276633	0,24059905406067017	0,20080946472907635	0,18963995280101487	0,21827470496636536	0,2255009322264997	0,010549820468952809	-	0,057599842642731325	0,33587172012702093	0,1917087292813413	0,4351773944388997	0,33121270153034366	0,1398545324832441	0,1832938185173243
